Index,Mean,Stddev
accuracy,0.8333333333333334,0.0
balanced_accuracy,0.8202922077922078,0.012167746559378917
f1,0.7873303167420814,0.025596625563313897
precision,0.8148148148148149,0.026189140043946214
recall,0.7678571428571429,0.0757614408414158
specificity,0.8727272727272727,0.05142594772265797
ROC_AUC,0.8202922077922078,0.012167746559378917
MCC,0.6533790452301818,0.012332895457803413
